Site ID,Parent Site ID,Parent Site Name,Site Name,Type,Latitude,Longitude,Legacy,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
M020E,M020,Go Between Bridge,Go Between Bridge Pedestrian,Manual,-27.470988,153.013597,,2010,,,,,,,1,1,1,1,1,1,1
M021,M021,Bridge Street Woolowin,Bridge Street Woolowin,Manual,-27.425017,153.041961,,2010,,,,,,,1,1,1,,1,1,1
M022,M022,M5 Veloway Jindalee,M5 Veloway Jindalee,Manual,-27.528642,152.946953,,2010,,,,,,,1,1,1,,1,1,1
M023,M023,Wynnum Road Murrarie,Wynnum Road Murrarie,Manual,-27.471206,153.106842,,2010,,,,,,,1,1,1,,1,1,1
M024,M024,Sylvan Road Toowong,Sylvan Road Toowong,Manual,-27.482441,152.996591,,2010,,,,,,,1,1,1,,,,
M025,M025,Uxbridge Street Grange,Uxbridge Street Grange,Manual,-27.423995,153.02025,,2010,,,,,,,1,1,1,,,,
M026N,M026,Eleanor Schonell Bridge,Eleanor Schonell Bridge Pedestrian,Manual,-27.497561,153.018897,,2011,,,,,,,,1,1,1,1,1,1
M026S,M026,Eleanor Schonell Bridge,Eleanor Schonell Bridge Cycles,Manual,-27.497856,153.018506,,2011,,,,,,,,1,1,1,1,1,1
M027,M027,Stanley Street/Annerley Road South Brisbane,Stanley Street/Annerley Road South Brisbane,Manual,-27.48555,153.029066,,2011,,,,,,,,1,1,1,1,1,1
M028,M028,Queen Street/Ann Street Brisbane,Queen Street/Ann Street Brisbane,Manual,-27.46275,153.031114,,2011,,,,,,,,1,1,1,1,1,1
M029,M029,Ekibin Park South East Freeway Bikeway,Ekibin Park South East Freeway Bikeway,Manual,-27.507091,153.04178,,2011,,,,,,,,1,1,1,1,1,1
M030,M030,Tarragindi Bikeway Tarragindi,Toohey Road Salisbury,Manual,-27.536035,153.041337,,2011,,,,,,,,1,1,1,,1,1
M031,M031,Canning Bridge Norman Park,Canning Bridge Norman Park,Manual,-27.476389,153.050406,,2014,,,,,,,,,,,1,1,1
M032,M032,Bundal Street Wavell Heights,Bundal Street Wavell Heights,Manual,-27.393681,153.035498,,2014,,,,,,,,,,,1,,1
M033,M033,Indooroopilly Road Toowong,Indooroopilly Road Toowong,Manual,-27.492431,152.990795,,2014,,,,,,,,,,,1,,1
M034,M034,Wynnum Road Wynnum,Wynnum Road Wynnum,Manual,-27.451412,153.156714,,2014,,,,,,,,,,,1,,1
M035,M035,Wynnum Road North Wynnum West,Wynnum Road North Wynnum West,Manual,-27.437529,153.15793,,2014,,,,,,,,,,,1,,
M036,M036,Centaurus Street Inala,Centaurus Street Inala,Manual,-27.60279,152.968574,,2014,,,,,,,,,,,1,1,
M037,M037,Bulimba Riverside Park,Bulimba Riverside Park,Manual,-27.45476,153.053484,,2014,,,,,,,,,,,1,1,
M038,M038,Lanita Road Ferny Grove,Lanita Road Ferny Grove,Manual,-27.398327,152.931328,,2014,,,,,,,,,,,1,1,1
M039,M039,Dornoch Terrace West End,Dornoch Terrace West End,Manual,-27.487421,153.018423,,2014,,,,,,,,,,,1,,
M040,M040,Gladstone Road Highgate Hill,Gladstone Road Highgate Hill,Manual,-27.488448,153.018651,,2014,,,,,,,,,,,1,1,1
M041,M041,Alfred Street Fortitude Valley,Alfred Street Fortitude Valley,Manual,-27.456645,153.032261,,2014,,,,,,,,,,,1,,
